year,state,voter_pct_of_total,voter_pct_of_citizen,reg_pct_of_total,reg_pct_of_citizen
1996,TX,0.462,0.515,0.619,0.69
1996,UT,0.53,0.555,0.645,0.6759999999999999
1996,VA,0.564,0.584,0.665,0.688
1996,VT,0.595,0.604,0.72,0.731
1996,WA,0.6,0.623,0.7,0.726
1996,WI,0.624,0.648,0.7759999999999999,0.8059999999999999
1996,WV,0.502,0.506,0.647,0.652
1996,WY,0.662,0.667,0.7120000000000001,0.718
1998,AK,0.5379999999999999,0.552,0.723,0.7440000000000001
1998,AL,0.512,0.518,0.737,0.747
1998,AR,0.424,0.428,0.632,0.639
1998,AZ,0.33799999999999997,0.382,0.511,0.579
1998,CA,0.405,0.504,0.521,0.65
1998,CO,0.521,0.556,0.685,0.731
1998,CT,0.45399999999999996,0.47100000000000003,0.6659999999999999,0.6920000000000001
1998,DC,0.45399999999999996,0.489,0.6509999999999999,0.703
1998,DE,0.365,0.377,0.611,0.63
1998,FL,0.39,0.439,0.59,0.6629999999999999
1998,GA,0.374,0.386,0.62,0.639
1998,HI,0.48100000000000004,0.537,0.541,0.604
1998,IA,0.516,0.525,0.743,0.757
1998,ID,0.45,0.475,0.6,0.634
1998,IL,0.445,0.48200000000000004,0.639,0.69
1998,IN,0.4,0.406,0.617,0.626
1998,KS,0.401,0.41600000000000004,0.638,0.662
1998,KY,0.444,0.451,0.65,0.6609999999999999
1998,LA,0.38299999999999995,0.38799999999999996,0.726,0.736
1998,MA,0.462,0.502,0.642,0.696
1998,MD,0.473,0.513,0.604,0.6559999999999999
1998,ME,0.479,0.483,0.75,0.755
1998,MI,0.49700000000000005,0.511,0.722,0.742
1998,MN,0.642,0.659,0.809,0.83
1998,MO,0.45799999999999996,0.46799999999999997,0.718,0.7340000000000001
1998,MS,0.402,0.402,0.732,0.7390000000000001
1998,MT,0.5329999999999999,0.539,0.723,0.73
1998,NC,0.39399999999999996,0.40399999999999997,0.627,0.643
1998,ND,0.57,0.575,0.905,0.912
1998,NE,0.45299999999999996,0.46799999999999997,0.662,0.685
1998,NH,0.409,0.419,0.644,0.66
1998,NJ,0.355,0.355,0.601,0.667
1998,NM,0.48200000000000004,0.515,0.604,0.645
1998,NV,0.331,0.37,0.467,0.522
1998,NY,0.414,0.48200000000000004,0.57,0.6629999999999999
